code,name,close,volume
APPF,Appfolio Cl A,151.1,"147,200"
APPN,Appian Corp Cl A,125.1,"1,797,300"
APPS,Digital Turbine,40.19,"4,141,800"
APRE,Aprea Therapeutics Inc,24.84,"684,000"
APTO,Aptose Bioscns,5.890,"645,600"
APTX,Aptinyx Inc,3.270,"547,500"
APVO,Aptevo Therapeutics Inc,45.63,"196,700"
APWC,Asia Pacific Wire & Cable,2.250,"402,700"
APXT,Apex Technology Acquisition Corp Cl A,10.15,"216,800"
APXTU,Apex Technology Acquisition Corp,11.00,300
APXTW,Apex Technology Acquisition Corp WT,1.600,"13,500"
APYX,Apyx Medical Corp,6.770,"53,000"
AQB,Aquabounty Technologies Inc,3.860,"615,400"
AQMS,Aqua Metals Inc,0.9301,"377,300"
AQST,Aquestive Therapeutics Inc,6.740,"821,000"
ARAV,Aravive Inc,5.490,"133,300"
ARAY,Accuray Inc,3.910,"664,600"
ARCB,Arcbest Corp,37.92,"146,900"
ARCC,Ares Capital Corp,16.16,"1,214,700"
ARCE,Arco Platform Ltd Cl A,41.18,"61,000"
ARCT,Arcturus Therapeutics Ltd,60.34,"610,200"
ARDS,Aridis Pharmaceuticals Inc,7.210,"6,300"
ARDX,Ardelyx Inc,5.650,"303,800"
AREC,American Resources Corp,1.470,"563,200"
ARGX,Argenx Se Ads,269.3,"99,400"
ARKR,Ark Restaurants Cp,11.21,"18,200"
ARLP,Alliance Resource Pt,4.020,"269,700"
ARNA,Arena Pharmaceuticals,64.83,"629,300"
AROW,Arrow Financial Corp,30.19,"23,800"
ARPO,Aerpio Pharmaceuticals Inc,1.570,"888,000"
ARQT,Arcutis Biotherapeutics Inc,23.12,"171,300"
ARRY,Array Technologies Inc,45.10,"813,700"
ARTL,Artelo Biosciences Inc,0.5980,"16,262,600"
ARTLW,Artelo Biosciences Inc WT,0.1299,"81,100"
ARTNA,Artesian Res Cp A,37.32,"23,800"
ARTW,Art S Way MFG Company,2.420,"6,100"
ARVN,Arvinas Inc,23.20,"1,869,500"
ARWR,Arrowhead Pharma,68.80,"719,800"
ARYA,Arya Sciences Acquisition Corp III Cl A,10.38,"3,700"
ARYB,Arya Sciences Acquisition Corp II Cl A,10.10,"20,000"
ARYBU,Arya Sciences Acquisition Corp II,10.39,700
ARYBW,Arya Sciences Acquisition Corp II WT,1.830,"43,700"
ASET,Flexshares Real Assets Allocation Index,28.58,"1,300"
ASLN,Aslan Pharmaceuticals Ltd ADR,1.750,"108,900"
ASMB,Assembly Biosciences,5.440,"1,309,300"
ASML,Asml Hld NY Reg,423.6,"484,000"
ASND,Ascendis Pharma Ads,156.5,"233,600"
ASO,Academy Sports and Outdoors Inc,15.82,"2,550,800"
